#,Name,Comments 1,Quarter,Down,Distance,Field Position,P/10,SY/GL,Red Area,Drive #,Drive Play #,Gain,R/P,Hash,Personnel,Backfield,Formation,Form Var,Motion,Starting Form,FIB,Endover,Form Adj Reduce,Y Location,Pass Concept,Pass Result,Run Concept,Run Strength,Play Type,Proctection,Front,Front Type,Stunt,Pressure Type,Coverage,2M/4M,BC/REC,QB,RB,TE,WR,Tempo,pff_OFFPERSONNELBASIC,pff_RUNPASS,pff_DRIVEPLAY,pff_HASHDEF,pff_PREVIOUSGAINLOSS,pff_GAINLOSS,pff_SCREEN,pff_QUICKGAME,pff_RUNCONCEPT3,pff_RUNCONCEPTPRIMARY,pff_PENALTY,pff_TOUCHDOWN,pff_TRICKLOOK,pff_TRICKPLAY,pff_TEMPO,pff_2MINUTE,pff_GARBAGETIME,pff_BALLCARRIER,pff_QB,pff_RBS,pff_WRS,pff_TES,pff_FRONTTYPE,pff_OFFFORMATIONGROUP,pff_RUNPASSOPTION,pff_PREVIOUSRUNPASS,pff_PASSRECEIVERTARGET,pff_BLITZDOG,pff_PASSCOVERAGEBASIC
109,"2511 UAB O vs USF, Play 026",,2,3,8,'-43,3,,,4,6,11,P,R,20,GS,SLOT,STK,T RELOAD/X IN,,,,,,SPACING,COMPLETE,,,DB,MAN,,3 DWN,,,,0,ALBI 11,ALBI 07,04; 11,,00; 06; 08,0,20,P,,R,1,11,0,0,,,,,0,0,0,0,0,ALBI 11,ALBI 07,04; 11,00; 06; 08,,ODD,1x2,0,R,ALBI 11,1,COVER 4
110,"2511 UAB O vs USF, Play 027",,2,1,10,'+46,1,,,4,7,0,R,L,12,GN,ACE U OFF,,,,,,,PRO,,,OZ,WK,ZN,,,4 DWN,,,,0,ALBI 04,ALBI 07,4,17; 85,00; 08,0,12,R,,L,11,0,0,,,OUTSIDE ZONE,,,0,0,0,0,0,ALBI 04,ALBI 07,04,00; 08,17; 85,WIDE OVER,2x2,0,P,,0,COVER 3 SEAM
111,"2511 UAB O vs USF, Play 028",,2,2,10,'+46,2,,,4,8,0,P,M,11,GF,DOUBLES,,Y OUT,,,,,OPEN,POST WHEEL,INCOMPLETE,,,DB,HS,,4 DWN,,,,0,,ALBI 07,4,17,00; 06; 12,0,11,P,,C,0,0,0,0,,,,,0,0,0,0,0,,ALBI 07,04,00; 06; 12,17,WIDE UNDER,2x2,0,R,ALBI 06,0,COVER 1
112,"2511 UAB O vs USF, Play 029",,2,3,10,'+46,3,,,4,9,15,P,LM,11,GF,TRIPS OPEN,Y AT 2,HOY,,,,,OPEN,OVER,COMPLETE,,,DB,MAN,,6 DWN,,,,0,ALBI 00,ALBI 07,4,17,00; 06; 12,0,11,P,,L,,15,0,0,,,,,0,0,0,0,0,ALBI 00,ALBI 07,04,00; 06; 12,17,EVEN,3x1,0,P,ALBI 00,1,COVER 1
113,"2511 UAB O vs USF, Play 030",,2,1,10,'+31,1,,,4,10,'-2,R,L,12,DOT,ACE YU OFF,,,,,,,OFF,,,IZ,WK,ZN,,,4 DWN,,,,0,ALBI 04,ALBI 07,4,17; 85,00; 06,0,12,R,,L,15,'-2,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 04,ALBI 07,04,00; 06,17; 85,WIDE OVER,2x2,0,P,,0,COVER 3 SEAM
114,"2511 UAB O vs USF, Play 031",,2,2,12,'+33,2,,,4,11,0,P,L,21,GN,PRO Y OFF,SNUG,Y NR/TOX,,,,,OFF,MESH,THROWN AWAY,,,DB,FS LT,,4 DWN,,,,0,,ALBI 07,03; 11,85,00; 06,0,21,P,,L,'-2,0,0,0,,,,,0,0,0,0,0,,ALBI 07,03; 11,00; 06,85,UNDER,2x2,0,R,,0,COVER 3
115,"2511 UAB O vs USF, Play 035",,2,3,27,'+48,3,,,4,15,0,P,L,21,GS,PRO Y OFF,,,,,,,OFF,SWING F,BATTED PASS,,,RPO,GAP,,3 DWN,,,,0,,ALBI 07,03; 11,17,00; 06,0,21,P,,L,,0,0,0,,COUNTER,,,0,0,0,0,0,,ALBI 07,03; 11,00; 06,17,ODD,2x1,1,,,1,COVER 3
116,"2511 UAB O vs USF, Play 036",,2,0,10,'-25,P,,,5,1,2,R,R,11,GN,TREY Y OFF,,,,,,,OFF,,,ZONE READ ARC,WK,ZN,,,4 DWN,,,,0,ALBI 04,ALBI 07,4,17,00; 06; 12,0,11,R,,R,75,2,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 04,ALBI 07,04,00; 06; 12,17,WIDE OVER,1x3,0,,,0,COVER 1
117,"2511 UAB O vs USF, Play 037",,2,2,8,'-27,2,,,5,2,'-1,R,R,21,GS,PRO Y OFF,,,,,,,OFF,,,IZ,WK,ZN,,,4 DWN,,,,0,ALBI 11,ALBI 15,03; 11,17,00; 06,0,21,R,,R,2,'-1,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 11,ALBI 15,03; 11,00; 06,17,OVER,1x2,0,R,,0,COVER 3 SEAM
118,"2511 UAB O vs USF, Play 038",,2,3,9,'-26,3,,,5,3,0,P,RM,11,GN,TRIPS BUNCH,,,,,,X,ON,OPTION H,INCOMPLETE,,,DB,MAN,,4 DWN,,,,0,,ALBI 07,3,17,00; 06; 12,0,11,P,,C,'-1,0,0,0,,,,,0,0,0,0,0,,ALBI 07,03,00; 06; 12,17,WIDE OVER,1x3,0,R,ALBI 06,0,COVER 3
